Name,Awards,Education
James D. Foley,0,born in pennsylvania foley attended lehigh university graduating with bachelor degree in electrical engineering in foley was initiated into the phi beta kappa society and tau beta pi while at lehigh he received his ph in computer information and control engineering from the university of michigan in
Ken Forbus,0,kenneth ken forbus is an american computer scientist working as the walter murphy professor of computer science and professor of education at northwestern university
Lance Fortnow,0,lance fortnow received doctorate in applied mathematics from mit in supervised by michael sipser since graduation he has been on the faculty of the university of chicago northwestern university and the georgia institute of technology as chair of the school of computer science
Mahmoud Samir Fayed,0,fayed received master degree in from the college of computer and information sciences king saud university saudi arabia
Martin Fowler,0,martin fowler december is british software developer author and international public speaker on software development specialising in object oriented analysis and design uml patterns and agile software development methodologies including extreme programming
Herbert W. Franke,0,herbert franke may july was an austrian scientist and writer die zeit calls him the most prominent german writing science fiction author he is also one of the important early computer artists and collectors creating computer graphics and early digital art since the late franke was also active in the fields of future research as well as speleology he used his pen name sergius both as this avatar name in active worlds and opensimulator grids the sergius both award is given for creative scripting in immersionskunst by stiftung kunstinformatik first time issued at amerika art
Edward Fredkin,0,fredkin primary contributions include work on reversible computing and cellular automata while konrad zuse book calculating space mentioned the importance of reversible computation the fredkin gate represented the essential breakthrough in recent work he uses the term digital philosophy dp
Charlotte Froese Fischer,0,the experimental discovery of the negative ion of calcium was motivated by her theoretical prediction of its existence this was the first known anion of group element its discovery was cited in froese fischer election to fellow of the american physical society
Ping Fu,0,ping fu was born in in nanjing china where her father was professor at the nanjing university of aeronautics and astronautics nuaa fu spent her childhood and early adulthood in china she grew up during the cultural revolution during which she was separated from both her parents for several years after the end of the cultural revolution she attended the college that later became the suzhou university studying chinese literature fu has related in interviews and in her memoir that she chose to research china one child policy for her thesis and traveled to the countryside where she found that infanticide of female infants was common as was abortion even late into pregnancy fu said that after turning in her research she believes it was passed to newspaper editor who wrote an editorial on the infanticide of female children better source needed fu has stated that she was later briefly imprisoned by government officials and was told to leave the country after this event she left school without graduating
Xiaoming Fu,6,xiaoming fu born in jiangxi china is chinese german computer scientist he is full professor of computer science with focus on internet technologies at universität göttingen his research interests include architecture protocols and applications of networked systems including mobile and cloud computing network security social computing and big data
D. R. Fulkerson,0,fulkerson was born in tamms illinois the third of six children of elbert and emma fulkerson fulkerson became an undergraduate at southern illinois university his academic career was interrupted by military service during world war ii having returned to complete his degree after the war he went on to do ph in mathematics at the university of wisconsin madison under the supervision of cyrus macduffee who was student of dickson fulkerson received his ph in
Richard P. Gabriel,2,he was born in in the town of merrimac in northeastern massachusetts to two dairy farmers he studied at northeastern university boston where he earned in mathematics as of update he resides in redwood city california with his wife jo he has son named joseph and daughter named mariko doctor of physical therapy in los altos california
Zvi Galil,3,zvi galil was born in tel aviv in mandatory palestine in he completed both his sc and his sc in applied mathematics both summa cum laude at tel aviv university before earning his ph in computer science at cornell in under the supervision of john hopcroft he then spent year working as post doctorate researcher at ibm thomas watson research center in yorktown heights new york
Bernard Galler,0,galler attended the university of chicago where he earned sc in mathematics at the university of chicago followed by sc from ucla and ph from the university of chicago advised by paul halmos and marshall stone he joined the mathematics department at the university of michigan where he taught the first programming course using an ibm galler helped to develop the computer language called the michigan algorithm decoder in use at several universities he formed the communication sciences dept renamed computer sciences cs which became the computer and communications ccs dept and computer science department in the where he retired in
Hector Garcia-Molina,1,born in monterrey nuevo león mexico garcía molina graduated in with bachelor degree in electrical engineering from the monterrey institute of technology and higher studies itesm and received both master degree in electrical engineering and doctorate in computer science from stanford university
David Gelernter,0,gelernter is known for contributions to parallel computation in the and for books on topics such as computed worlds mirror worlds gelernter is also known for his belief expressed in his book america lite how imperial academia dismantled our culture and ushered in the obamacrats that liberal academia has destructive influence on american society he is in addition known for his views against women in the workforce and his rejection of the scientific consensus regarding anthropogenic climate change and evolution
Lisa Gelobter,0,she has spent years in the software industry and invented products vague that have been used by millions of people she has worked on several pioneering internet technologies including shockwave hulu and creation of web animation and online video brightcove and joost
Charles Geschke,1,charles matthew chuck geschke september april was an american businessman and computer scientist best known for founding the graphics and publishing software company adobe inc with john warnock in and co creating the pdf document format with john warnock
Zoubin Ghahramani,0,zoubin ghahramani frs persian زوبین قهرمانی born february is british iranian researcher and professor of information engineering at the university of cambridge he holds joint appointments at university college london and the alan turing institute and has been fellow of st john college cambridge since he was associate research professor at carnegie mellon university school of computer science from he was also the chief scientist of uber from until he joined google brain in as senior research director he is also deputy director of the leverhulme centre for the future of intelligence
Juan E. Gilbert,0,gilbert was awarded the first presidential endowed chair at clemson university on november according to one author gilbert efforts in large part in led clemson to have percent african american computer science professors and percent of the african american computer science doctoral students in the united states
Seymour Ginsburg,0,during his career ginsburg published over papers and three books on various topics in theoretical computer science
Robert L. Glass,0,glass held his first job in computing in he worked from to in the aerospace industry at north american aviation from to at aerojet general corp and from to at boeing company where he built software tools used by applications specialists
Hardik Gohel,0,gohel worked as task leader in federal research projects at applied research center at florida international university fiu gohel also served as postdoctoral advisory board member at fiu
Adele Goldberg,0,adele goldberg born july is an american computer scientist she was one of the co developers of the programming language smalltalk and of various concepts related to object oriented programming while researcher at the xerox palo alto research center parc in the
Andrew V. Goldberg,0,goldberg did his undergraduate studies at the massachusetts institute of technology graduating in after earning master degree at the university of california berkeley he returned to mit with funding from prestigious hertz fellowship finishing his doctorate there in with thesis on the efficient graph algorithms for sequential and parallel computers supervised by charles leiserson
Ian Goldberg,0,he attended high school at the university of toronto schools graduating in in he received math from the university of waterloo in pure mathematics and computer science he obtained ph from the university of california berkeley in december his thesis was entitled pseudonymous communications infrastructure for the internet his advisor was eric brewer
Judy Goldsmith,0,goldsmith graduated from princeton university in with bachelor degree in mathematics she completed her ph at the university of wisconsin madison in mathematics with minor in computer science in her dissertation polynomial isomorphisms and near testable sets was supervised by deborah joseph
Oded Goldreich,1,oded goldreich hebrew עודד גולדרייך is professor of computer science at the faculty of mathematics and computer science of weizmann institute of science israel his research interests lie within the theory of computation and are specifically the interplay of randomness and computation the foundations of cryptography and computational complexity theory he won the knuth prize in and was selected in to receive the israel prize in mathematics
Shafi Goldwasser,11,shafrira goldwasser hebrew שפרירה גולדווסר born is an israeli american computer scientist and winner of the turing award in she is the rsa professor of electrical engineering and computer science at mit professor of mathematical sciences at the weizmann institute of science israel co founder and chief scientist of duality technologies and the director of the simons institute for the theory of computing at the university of california berkeley
Martin Charles Golumbic,0,golumbic majored in mathematics at pennsylvania state university graduating in with bachelor and master degrees he completed his ph at columbia university in with the dissertation comparability graphs and new matroid supervised by samuel eilenberg
Gastón Gonnet,0,gonnet received his doctorate in computer science from the university of waterloo in his thesis was entitled interpolation and interpolation hash searching his advisor was alan george
Ian Goodfellow,0,ian goodfellow born or is computer scientist engineer and executive most noted for his work on artificial neural networks and deep learning he was previously employed as research scientist at google brain and director of machine learning at apple and has made several important contributions to the field of deep learning including the invention of the generative adversarial network gan goodfellow co wrote the textbook deep learning and wrote the chapter on deep learning in the most popular textbook in the field of artificial intelligence artificial intelligence modern approach used in more than universities in countries
James Gosling,7,james gosling oc born may is canadian computer scientist best known as the founder and lead designer behind the java programming language
Paul Graham,0,paul graham ɡræm born is an english born american computer scientist essayist entrepreneur venture capitalist and author he is best known for his work on the programming language lisp his former startup viaweb later renamed yahoo store cofounding the influential startup accelerator and seed capital firm combinator his essays and hacker news he is the author of several computer programming books including on lisp ansi common lisp and hackers painters technology journalist steven levy has described graham as hacker philosopher
David Gries,4,david gries born april in flushing queens new york is an american computer scientist at cornell university united states mainly known for his books the science of programming and logical approach to discrete math with fred schneider
Tom Gruber,0,in gruber co founded siri inc which created the siri intelligent personal assistant and knowledge navigator siri inc was acquired by apple in and siri is now an integral part of ios
Shelia Guberman,0,he is the son of aizik guberman writer poet and his wife etya teacher from to guberman studied at the institute of electrical communications odessa ussr graduating in radio engineering from to he worked as field geophysicist in the soviet oil industry from to he studied as postgraduate at the oil and gas institute in moscow in he received phd in nuclear physics followed by phd in applied mathematics in in he was appointed for full professorship in computer science after authoring the first applied pattern recognition program in guberman specialized in artificial intelligence implementing principles of gestalt perception in computer programs for geological data analysis in he was invited by the outstanding mathematician of the xx century prof gelfand to lead the artificial intelligence team in keldysh institute of applied mathematics of the russian academy of sciences he applied the pattern recognition technology to earthquake prediction oil and gas exploration handwriting recognition speech compression and medical imaging from to guberman held the chair professorship at moscow open university department of geography since he is living in the us guberman is the inventor of the handwriting recognition technology implemented in the commercial product by the company paragraph international founded by pachikov and used today by microsoft in windows ce he is author of core technologies for five us companies and owns patent on speech compression
Ramanathan V. Guha,1,guha did his schooling from loyola high school pune and graduated with bachelor of technology in mechanical engineering from the indian institute of technology madras master of science from university of california berkeley and ph from stanford university
Neil J. Gunther,9,neil gunther born august is computer information systems researcher best known internationally for developing the open source performance modeling software pretty damn quick and developing the guerrilla approach to computer capacity planning and performance analysis he has also been cited for his contributions to the theory of large transients in computer systems and packet networks and his universal law of computational scalability
Wendy Hall,0,dame wendy hall dbe frs freng mae fiet born october is british computer scientist she is regius professor of computer science at the university of southampton
Joseph Halpern,0,joseph yehuda halpern born is an israeli american professor of computer science at cornell university most of his research is on reasoning about knowledge and uncertainty
Margaret Hamilton,0,margaret heafield hamilton born august is an american computer scientist systems engineer and business owner she was director of the software engineering division of the mit instrumentation laboratory which developed on board flight software for nasa apollo program she later founded two software companies higher order software in and hamilton technologies in both in cambridge massachusetts
Jiawei Han,0,born in shanghai on august han received his bs from university of science and technology of china in and his phd from the university of wisconsin madison in computer science in
Frank Harary,0,frank harary was born in new york city the oldest child to family of jewish immigrants from syria and russia he earned his bachelor and master degrees from brooklyn college in and respectively and his ph with supervisor alfred foster from university of california berkeley in
Juris Hartmanis,13,juris hartmanis july july was latvian born american computer scientist and computational theorist who with richard stearns received the acm turing award in recognition of their seminal paper which established the foundations for the field of computational complexity theory
Igor Hawryszkiewycz,0,hawryszkiewycz obtained his phd in computer science from massachusetts institute of technology in with the thesis entitled semantics of data base systems developed within the project mac
Martin Hellman,0,hellman was elected member of the national academy of engineering in for contributions to the theory and practice of cryptography
Gernot Heiser,10,gernot heiser born is scientia professor and the john lions chair for operating systems at the university of new south wales unsw he is also leader of the software systems research group ssrg at nicta in he cofounded open kernel labs ok labs acquired in by general dynamics to commercialise his microkernel technology
James Hendler,0,hendler completed his doctor of philosophy degree at brown university in with thesis on automated planning and scheduling he also has an ms in cognitive psychology from southern methodist university msc from brown university and bs from yale university
John L. Hennessy,0,along with david patterson hennessy was recipient of the turing award for their work in developing the reduced instruction set computer risc architecture which is now used in of new computer chips
Andrew Herbert,0,andrew james herbert obe freng born is british computer scientist formerly chairman of microsoft research for the europe middle east and africa region
Kelsey Hightower,0,hightower grew up in long beach california then moved to atlanta georgia with his mother as he was beginning high school after high school he enrolled at clayton state university but found the technology courses to be lacking and didn continue he then began courses to earn his comptia information technology it certification
Danny Hillis,0,william daniel danny hillis born september is an american inventor entrepreneur and computer scientist who pioneered parallel computers and their use in artificial intelligence he founded thinking machines corporation parallel supercomputer manufacturer and subsequently was vice president of research and disney fellow at walt disney imagineering
Geoffrey Hinton,8,geoffrey everest hinton cc frs frsc born december is british canadian cognitive psychologist and computer scientist most noted for his work on artificial neural networks since he has divided his time working for google google brain and the university of toronto in he co founded and became the chief scientific advisor of the vector institute in toronto
Julia Hirschberg,7,hirschberg was elected member of the national academy of engineering in for contributions to the use of prosody in text to speech and spoken dialogue systems and to audio browsing and retrieval
Tin Kam Ho,0,ho completed her undergraduate education at the chinese university of hong kong in she received ph in computer science from state university of new york at buffalo in
C. A. R. Hoare,6,sir charles antony richard hoare tony hoare or hoare frs freng born january is british computer scientist who has made foundational contributions to programming languages algorithms operating systems formal verification and concurrent computing his work earned him the turing award usually regarded as the highest distinction in computer science in
Betty Holberton,1,frances elizabeth holberton march december was an american computer scientist who was one of the six original programmers of the first general purpose electronic digital computer eniac the other five eniac programmers were jean bartik ruth teitelbaum kathleen antonelli marlyn meltzer and frances spence
John Henry Holland,0,john henry holland february august was an american scientist and professor of psychology and professor of electrical engineering and computer science at the university of michigan ann arbor he was pioneer in what became known as genetic algorithms
Gerard Holzmann,0,holzmann was born in amsterdam netherlands and received an engineer degree in electrical engineering from the delft university of technology in he subsequently also received his phd degree from delft university in under van der poel and de kroes with thesis entitled coordination problems in multiprocessing systems after receiving fulbright scholarship he was post graduate student at the university of southern california for another year where he worked with per brinch hansen
John Hopcroft,7,he received his bachelor degree from seattle university in he received his master degree and ph from stanford university in and respectively he worked for three years at princeton university and since then has been at cornell university hopcroft is the grandson of jacob nist founder of the seattle tacoma box company
Grace Hopper,0,grace brewster hopper née murray december january was an american computer scientist mathematician and united states navy rear admiral one of the first programmers of the harvard mark computer she was pioneer of computer programming who invented one of the first linkers hopper was the first to devise the theory of machine independent programming languages and the flow matic programming language she created using this theory was later extended to create cobol an early high level programming language still in use today
Eric Horvitz,0,horvitz was elected member of the national academy of engineering in for computational mechanisms for decision making under uncertainty and with bounded resources
Alston Householder,0,he is the inventor of the householder transformation and of householder method
David A. Huffman,0,david albert huffman august october was an american pioneer in computer science known for his huffman coding he was also one of the pioneers in the field of mathematical origami
Roger Hui,0,roger kwok wah hui december october was computer scientist who worked on array programming languages he codeveloped the programming language
Watts Humphrey,0,watts humphrey whose grandfather and father also had the same name was born in battle creek michigan on july his uncle was us secretary of the treasury george humphrey in he graduated from high school and served in the united states navy despite dyslexia he received bachelor of science in physics from the university of chicago master of science in physics from illinois institute of technology physics department and master of business administration from the university of chicago graduate school of business
Jean Ichbiah,0,ichbiah was descendant of greek and turkish jews from thessaloniki who emigrated to france
Dan Ingalls,1,daniel henry holmes ingalls jr born is pioneer of object oriented computer programming and the principal architect designer and implementer of five generations of smalltalk environments he designed the bytecoded virtual machine that made smalltalk practical in he also invented bit blit the general purpose graphical operation that underlies most bitmap computer graphics systems today and pop up menus he designed the generalizations of bitblt to arbitrary color depth with built in scaling rotation and anti aliasing he made major contributions to the squeak version of smalltalk including the original concept of smalltalk written in itself and made portable and efficient by smalltalk to translator
Mary Jane Irwin,0,irwin was elected member of the national academy of engineering in for contributions to vlsi architecture and automated design
Kenneth E. Iverson,4,kenneth eugene iverson december october was canadian computer scientist noted for the development of the programming language apl he was honored with the turing award in for his pioneering effort in programming languages and mathematical notation resulting in what the computing field now knows as apl for his contributions to the implementation of interactive systems to educational uses of apl and to programming language theory and practice
Ivar Jacobson,0,ivar jacobson was born in ystad sweden on september he received his master of electrical engineering degree at chalmers institute of technology in gothenburg in after his work at ericsson he formalized the language and method he had been working on in his phd at the royal institute of technology in stockholm in on the thesis language constructs for large real time systems citation needed
Anil K. Jain,10,born in india anil jain received his bachelor of technology in electrical engineering from the indian institute of technology kanpur in he received his ms and phd from the ohio state university in and respectively his phd advisor was robert mcghee and his phd thesis was titled some aspects of dimensionality and sample size problems in statistical pattern recognition jain taught at wayne state university from to and joined the faculty of michigan state university in where he is currently university distinguished professor
Ramesh Jain,0,ramesh chandra jain born june is scientist and entrepreneur in the field of information and computer science he is bren professor in information computer sciences donald bren school of information and computer sciences university of california irvine
Stephen C. Johnson,0,there were no computer science classes in college so he studied mathematics in which he eventually earned phd
Michael I. Jordan,5,jordan was elected member of the national academy of engineering in for contributions to the foundations and applications of machine learning
Mathai Joseph,0,mathai joseph is an indian computer scientist and author
Dan Jurafsky,0,jurafsky received his in linguistics and ph in computer science both at university of california berkeley and then postdoc at international computer science institute berkeley
William Kahan,0,born to canadian jewish family he attended the university of toronto where he received his bachelor degree in his master degree in and his ph in all in the field of mathematics kahan is now emeritus professor of mathematics and of electrical engineering and computer sciences eecs at the university of california berkeley
David Karger,0,karger received bachelor of arts degree from harvard university and phd in computer science from stanford university
Richard Karp,0,karp was elected member of the national academy of engineering for major contributions to the theory and application of np completeness constructing efficient combinatorial algorithms and applying probabilistic methods in computer science
Narendra Karmarkar,0,narendra krishna karmarkar born circa is an indian mathematician karmarkar developed karmarkar algorithm he is listed as an isi highly cited researcher
Neeraj Kayal,1,neeraj kayal hindi रज कय is an indian computer scientist and mathematician noted for development of the aks primality test along with manindra agrawal and nitin saxena kayal was born and raised in guwahati india
John George Kemeny,0,born in budapest hungary into jewish family kemeny attended the rácz private primary school in budapest and was classmate of nándor balázs in his father left for the united states alone in he took the whole kemeny family to the united states when the adoption of the second anti jewish law in hungary became imminent his grandfather however refused to leave and was murdered in the holocaust along with an aunt and uncle kemeny family settled in new york city where he attended george washington high school he graduated with the best results in his class three years later in kemeny entered princeton university where he studied mathematics and philosophy but he took year off during his studies to work on the manhattan project at los alamos national laboratory where his boss was richard feynman he also worked there with john von neumann returning to princeton kemeny graduated with an in mathematics in after completing senior thesis titled equivalent logical systems under the supervision of alonzo church he then remained at princeton to pursue graduate studies and received ph in mathematics in after completing doctoral dissertation titled type theory vs set theory also under the supervision of alonzo church he worked as albert einstein mathematical assistant during graduate school
Brian Kernighan,0,he worked at bell labs and contributed to the development of unix alongside unix creators ken thompson and dennis ritchie kernighan name became widely known through co authorship of the first book on the programming language the programming language with dennis ritchie kernighan affirmed that he had no part in the design of the language it entirely dennis ritchie work he authored many unix programs including ditroff kernighan is coauthor of the awk and ampl programming languages the of and of awk both stand for kernighan
Gregor Kiczales,0,most of kiczales work throughout the years has been focused on allowing software engineers to create programs that look as much as possible like their design to reduce complexity and make code maintenance easier ultimately improving software quality
Peter T. Kirstein,3,peter thomas kirstein cbe freng dfbcs fiet finstp june january was british computer scientist who played role in the creation of the internet he put the first computer on the arpanet outside of the us and was instrumental in defining and implementing tcp ip alongside vint cerf and bob kahn
Stephen Cole Kleene,0,kleene was awarded bachelor degree from amherst college in he was awarded ph in mathematics from princeton university in where his thesis entitled theory of positive integers in formal logic was supervised by alonzo church in the he did important work on church lambda calculus in he joined the mathematics department at the university of wisconsin madison where he spent nearly all of his career after two years as an instructor he was appointed assistant professor in
Leonard Kleinrock,5,in the early kleinrock pioneered the application of queueing theory to model delays in message switching networks in his ph thesis published as book in he later published several of the standard works on the subject in the early he applied queueing theory to model the performance of packet switching networks this work played an influential role in the development of the arpanet the precursor to the internet he supervised many graduate students who worked on the communication protocols for internetworking which led to the internet his theoretical work on hierarchical routing in the late with student farouk kamoun remains critical to the operation of the internet today
Donald Knuth,13,donald ervin knuth kəˈnuːθ kə nooth born january is an american computer scientist mathematician and professor emeritus at stanford university he is the recipient of the acm turing award informally considered the nobel prize of computer science knuth has been called the father of the analysis of algorithms
Daphne Koller,0,koller received bachelor degree from the hebrew university of jerusalem in at the age of and master degree from the same institution in at the age of she completed her phd at stanford in under the supervision of joseph halpern
Michael Kölling,0,kölling was born in bremen germany he earned degree in informatics from the university of bremen citation needed in he was awarded ph in computer science from the university of sydney for research on the design of an object oriented programming environment and language supervised by john rosenberg
Andrey Nikolaevich Kolmogorov,7,andrey kolmogorov was born in tambov about kilometers south southeast of moscow in his unmarried mother maria yakovlevna kolmogorova died giving birth to him andrey was raised by two of his aunts in tunoshna near yaroslavl at the estate of his grandfather well to do nobleman
Janet L. Kolodner,0,kolodner graduated with bachelor of arts degree in math and computer science from brandeis university in she then completed her master of science degree in computer science in and her phd in computer science in from yale university
Robert Kowalski,0,robert anthony kowalski born may is an american british logician and computer scientist whose research is concerned with developing both human oriented models of computing and computational models of human thinking he has spent most of his career in the united kingdom
John Krogstie,0,john krogstie received msc in and phd in both in information systems from the norwegian university of science and technology from to he was employed as manager in accenture in he was senior researcher in sintef he is professor in information systems at ntnu in trondheim norway
Joseph Kruskal,0,kruskal had two notable brothers martin david kruskal co inventor of solitons and william kruskal who developed the kruskal wallis one way analysis of variance one of joseph kruskal nephews is notable computer scientist and professor clyde kruskal
Maarja Kruusmaa,0,kruusmaa graduated from tallinn polytechnic in majoring in electronic computing machines and devices and in from tallinn university of technology majoring in computers and computer networks from to she was doctoral student at chalmers university of technology in sweden where she defended her doctoral thesis in on repeated path planning for mobile robots in dynamic environments
Thomas E. Kurtz,0,native of oak park illinois united states kurtz graduated from knox college in and was awarded ph degree from princeton university in where his advisor was john tukey and joined the mathematics department of dartmouth college that same year where he taught statistics and numerical analysis
Richard E. Ladner,0,richard emil ladner is an american computer scientist known for his contributions to both theoretical computer science and assistive technology ladner is professor emeritus at the university of washington
Leslie Lamport,6,lamport was the winner of the turing award for imposing clear well defined coherence on the seemingly chaotic behavior of distributed computing systems in which several autonomous computers communicate with each other by passing messages he devised important algorithms and developed formal modeling and verification protocols that improve the quality of real distributed systems these contributions have resulted in improved correctness performance and reliability of computer systems
Butler Lampson,6,after graduating from the lawrenceville school where in he was awarded the aldo leopold award also known as the lawrenceville medal lawrenceville highest award to alumni lampson received an in physics magna cum laude with highest honors in the discipline from harvard university in and phd in electrical engineering and computer science from the university of california berkeley in
Tom Lane,0,lane contributions to open source include
Börje Langefors,0,children eva langefors and ola langefors
Chris Lattner,2,christopher arthur lattner born is an american software engineer former google and tesla employee and co founder of llvm clang compiler mlir compiler infrastructure and the swift programming language as of update he is the co founder and ceo at modular ai an artificial intelligence platform for developers before founding modular ai he worked as the president of platform engineering sifive after two years at google brain prior to that he briefly served as vice president of autopilot software at tesla inc and worked at apple inc as senior director of the developer tools department leading the xcode instruments and compiler teams
Joshua Lederberg,0,in addition to his contributions to biology lederberg did extensive research in artificial intelligence this included work in the nasa experimental programs seeking life on mars and the chemistry expert system dendral
Manny M Lehman,0,meir manny lehman freng january december was professor in the school of computing science at middlesex university from to he was professor and head of the computing department at imperial college london his research contributions include the early realisation of the software evolution phenomenon and the eponymous lehman laws of software evolution
Yann LeCun,3,yann andré lecun ləˈkʌn lə kun french ləkœ originally spelled le cun born july is french computer scientist working primarily in the fields of machine learning computer vision mobile robotics and computational neuroscience he is the silver professor of the courant institute of mathematical sciences at new york university and vice president chief ai scientist at meta
Rasmus Lerdorf,0,rasmus lerdorf born november is danish canadian programmer he co authored and inspired the php scripting language authoring the first two versions of the language and participating in the development of later versions led by group of developers including jim winstead who later created blo gs stig bakken shane caraveo andi gutmans and zeev suraski he continues to contribute to the project
Max Levchin,0,maksymilian rafailovych max levchin ukrainian максиміліан рафаїлович левчин born july is ukrainian american software engineer and businessman in he co founded the company that eventually became paypal levchin made contributions to paypal anti fraud efforts and was the co creator of the gausebeck levchin test one of the first commercial implementations of captcha challenge response human test
Leonid Levin,0,he is known for his work in randomness in computing algorithmic complexity and intractability average case complexity foundations of mathematics and computer science algorithmic probability theory of computation and information theory he obtained his master degree at moscow university in where he studied under andrey kolmogorov and completed the candidate degree academic requirements in
J.C.R. Licklider,0,he is particularly remembered for being one of the first to foresee modern style interactive computing and its application to all manner of activities and also as an internet pioneer with an early vision of worldwide computer network long before it was built he did much to initiate this by funding research which led to much of it including today canonical graphical user interface and the arpanet which is the direct predecessor of the internet
John Lions,0,john lions january december was an australian computer scientist he is best known as the author of lions commentary on unix th edition with source code commonly known as the lions book
Richard J. Lipton,0,richard jay lipton born september is an american computer scientist who is associate dean of research professor and the frederick storey chair in computing in the college of computing at the georgia institute of technology he has worked in computer science theory cryptography and dna computing
Barbara Liskov,3,liskov is one of the earliest women to have been granted doctorate in computer science in the united states and the second woman to receive the turing award she is currently an institute professor and ford professor of engineering at the massachusetts institute of technology
Yanhong Annie Liu,0,liu studied computer science at peking university earning bachelor of science sc she moved to tsinghua university for her graduate studies earning master of science sc in engineering in liu was graduate student at cornell university where she earned doctor of philosophy ph in
Darrell Long,0,long did his undergraduate studies at san diego state university graduating in and went on to graduate studies at the university of california san diego earning ph in under the supervision of jehan françois pâris
Patricia D. Lopez,8,she is also noted for her leadership in broadening participation in computing she is founding member of latinas in computing serves on the cahsi anita borg institute and cra boards and was the grace hopper celebration of women in computing general co chair
Nancy Lynch,0,lynch was born in brooklyn and her academic training was in mathematics she attended brooklyn college and mit where she received her ph in under the supervision of albert meyer
Nadia Magnenat Thalmann,5,nadia magnenat thalmann is computer graphics scientist and robotician and is the founder and head of miralab at the university of geneva she has chaired the institute for media innovation at nanyang technological university ntu singapore from to
Zohar Manna,1,he was born in haifa israel he earned his bachelor of science bs and master of science ms degrees from the technion israel institute of technology
James Martin,0,james martin october june was an english information technology consultant and author known for his work on information technology engineering
John Mashey,0,john mashey born is an american computer scientist director and entrepreneur
Yukihiro Matsumoto,0,yukihiro matsumoto まつもとゆきひろ matsumoto yukihiro born april also known as matz is japanese computer scientist and software programmer best known as the chief designer of the ruby programming language and its original reference implementation matz ruby interpreter mri his demeanor has brought about motto in the ruby community matz is nice and so we are nice commonly abbreviated as minaswan
John Mauchly,1,together they started the first computer company the eckert mauchly computer corporation emcc and pioneered fundamental computer concepts including the stored program subroutines and programming languages their work as exposed in the widely read first draft of report on the edvac and as taught in the moore school lectures influenced an explosion of computer development in the late all over the world
Ujjwal Maulik,0,he did his schooling from nabadwip bakultala high school nabadwip nadia and rahara ramakrishna mission vc college rahara parganas north both in west bengal subsequently he completed sc in physics and tech in computer science from university of calcutta kolkata west bengal india in and he also received his tech in computer science and ph in engineering in and at jadavpur university kolkata west bengal india he did post doctoral research at the university of new south wales australia in and the university of texas arlington in
John McCarthy,0,john mccarthy september october was an american computer scientist and cognitive scientist he was one of the founders of the discipline of artificial intelligence he co authored the document that coined the term artificial intelligence ai developed the programming language family lisp significantly influenced the design of the language algol popularized time sharing and invented garbage collection
Andrew McCallum,0,mccallum graduated summa cum laude from dartmouth college in he completed his ph at university of rochester in under the supervision of dana ballard he was then postdoctoral fellow working with sebastian thrun and tom mitchell at carnegie mellon university from to he was research scientist and research coordinator at justsystem pittsburgh research center from to was vice president of research and development at whizbang labs and director of its pittsburgh office since he worked as professor of computer science at the university of massachusetts amherst in he also joined google as part time research scientist
Douglas McIlroy,0,his seminal work on software and code reuse makes him pioneer of component based software engineering and software product line engineering
Chris McKinstry,0,mckinstry was canadian citizen born in winnipeg he resided several years in chile from he lived in antofagasta as vlt operator for the european southern observatory at the end of he moved back to santiago chile suffering from bipolar disorder mckinstry had an armed standoff with police in toronto in with it lasting hours it ultimately concluded with mckinstry being hit with tear gas but ending with no casualties
Lambert Meertens,2,lambert guillaume louis théodore meertens or meertens born may in amsterdam is dutch computer scientist and professor as of update he is researcher at the kestrel institute nonprofit computer science research center in palo alto stanford research park
Dora Metcalf,0,dora stuart primrose metcalf march october was an entrepreneur mathematician and computing pioneer during world war she was comptometer operator in munitions factory during which time she realised the potential in the mechanical descendants of the abacus during world war ii she was involved with supplying the bombe decryption machines to the codebreakers at bletchley park in england
Silvio Micali,3,micali graduated in mathematics at la sapienza university of rome in and earned phd degree in computer science from the university of california berkeley in for research supervised by manuel blum micali has been on the faculty at mit electrical engineering and computer science department since his research interests are cryptography zero knowledge pseudorandom generation secure protocols and mechanism design
Jack Minker,0,minker was born on july in brooklyn new york he received his bachelor of arts degree from brooklyn college in master of arts degree from the university of wisconsin in and phd from the university of pennsylvania in for research supervised by bernard epstein
Marvin Minsky,6,marvin lee minsky august january was an american cognitive and computer scientist concerned largely with research of artificial intelligence ai co founder of the massachusetts institute of technology ai laboratory and author of several texts concerning ai and philosophy
James G. Mitchell,0,mitchell was born in kitchener ontario canada on april he grew up in cambridge ontario and graduated with degree in mathematics from the university of waterloo in mitchell began working with computers in while student at the university of waterloo he and three other undergraduates developed fast compiler for the fortran programming language named watfor waterloo fortran for the ibm computer the project initiated by professor wesley graham established waterloo early reputation as centre for software and computer science research by helping the first generation of computer science majors learn to program he then graduated with phd in computer science from carnegie mellon university in his dissertation is titled the design and construction of flexible and efficient interactive programming systems
Tom M. Mitchell,0,tom michael mitchell born august is an american computer scientist and fredkin university professor at the carnegie mellon university cmu he is former chair of the machine learning department at cmu mitchell is known for his contributions to the advancement of machine learning artificial intelligence and cognitive neuroscience and is the author of the textbook machine learning he is member of the united states national academy of engineering since he is also fellow of the american association for the advancement of science and fellow the association for the advancement of artificial intelligence in october mitchell was appointed as the interim dean of the school of computer science at carnegie mellon
